name,1,2,3,4,5,6,7,8,9,10,11,beforeGold Coast,beforeBells Beach,beforeRio Pro,beforeBali Pro,beforeMargaret River,beforeJ-Bay Open,beforeTahiti,beforeSurf Ranch Pro,beforeFrance,beforePeniche Pro,beforePipe Masters,endOfSeason
Adrian Buchan,7800,1665,1665,3700,420,1665,1665,420,1665,3700,420,0,7800,9465,11130,14830,15250,16915,18580,19000,20665,24365,23945
Adriano de Souza,3700,1665,420,3700,1665,3700,1665,1665,4745,420,0,0,3700,5365,5785,9485,11150,14850,16515,18180,22925,23345,22925
Alejo Muniz,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,1665,1665,1665,1665,1665,1665,1665,1665,1665
Barron Mamiya,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420
Benji Brand,0,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420
Caio Ibelli,420,420,420,420,420,420,420,420,420,420,420,0,420,840,1260,1680,2100,2520,2940,3360,3780,4200,3780
Carl Wright,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420,420,420
Conner Coffin,1665,3700,420,1665,4745,4745,420,3700,6085,1665,4745,0,1665,5365,5785,7450,12195,16940,17360,21060,27145,28810,32715
Connor O'Leary,1665,420,420,420,3700,1665,3700,1665,1665,420,1665,0,1665,2085,2505,2925,6625,8290,11990,13655,15320,15740,16565
David Delroy-Carr,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420
Deivid Silva,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420,420
Ezekiel Lau,420,4745,6085,1665,420,420,3700,420,1665,3700,420,0,420,5165,11250,12915,13335,13755,17455,17875,19540,23240,22820
Filipe Toledo,4745,1665,10000,4745,4745,10000,6085,7800,1665,1665,1665,0,4745,6410,16410,21155,25900,35900,41985,49785,51450,53115,51450
Frederico Morais,1665,4745,1665,1665,420,3700,1665,420,420,3700,420,0,1665,6410,8075,9740,10160,13860,15525,15945,16365,20065,19645
Gabriel Medina,1665,6085,4745,3700,4745,4745,10000,10000,6085,6085,10000,0,1665,7750,12495,16195,20940,25685,35685,45685,51770,57855,62490
Griffin Colapinto,6085,1665,1665,4745,420,3700,420,1665,1665,420,1665,0,6085,7750,9415,14160,14580,18280,18700,20365,22030,22450,23275
Hiroto Ohhara,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420
Ian Gouveia,420,420,3700,420,420,420,1665,1665,1665,1665,420,0,420,840,4540,4960,5380,5800,7465,9130,10795,12460,12040
Italo Ferreira,1665,10000,1665,10000,1665,420,4745,1665,1665,10000,1665,0,1665,11665,13330,23330,24995,25415,30160,31825,33490,43490,43070
Jack Robinson,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,1665,1665,1665,1665,1665,1665,1665
Jeremy Flores,1665,3700,1665,4745,420,1665,6085,1665,420,1665,1665,0,1665,5365,7030,11775,12195,13860,19945,21610,22030,23695,24520
Jesse Mendes,420,1665,420,3700,1665,420,1665,420,420,1665,3700,0,420,2085,2505,6205,7870,8290,9955,10375,10795,12460,15320
Joan Duru,420,420,420,420,3700,420,420,1665,1665,7800,4745,0,420,840,1260,1680,5380,5800,6220,7885,9550,17350,21255
Joel Parkinson,1665,1665,0,1665,1665,3700,1665,420,1665,420,3700,0,1665,3330,3330,4995,6660,10360,12025,12445,14110,14530,17810
John John Florence,420,1665,3700,1665,1665,420,420,420,420,420,420,0,420,2085,5785,7450,9115,9535,9955,10375,10795,11215,10795
Jordy Smith,1665,1665,1665,6085,4745,6085,1665,3700,4745,1665,6085,0,1665,3330,4995,11080,15825,21910,23575,27275,32020,33685,36440
Jorgann Couzinet,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420
Julian Wilson,10000,1665,6085,1665,7800,4745,420,4745,10000,4745,7800,0,10000,11665,17750,19415,27215,31960,32380,37125,47125,51870,57585
Kael Walsh,0,0,0,0,1665,0,0,0,0,0,0,0,0,0,0,0,1665,1665,1665,1665,1665,1665,1665
Kanoa Igarashi,3700,420,3700,420,420,6085,3700,6085,420,4745,1665,0,3700,4120,7820,8240,8660,14745,18445,24530,24950,29695,30520
Keanu Asing,420,420,1665,1665,1665,420,420,420,420,420,420,0,420,840,2505,4170,5835,6255,6675,7095,7515,7935,7515
Kelly Slater,420,420,420,420,420,420,420,6085,420,420,6085,0,420,840,1260,1680,2100,2520,2940,9025,9445,9865,15110
Kolohe Andino,1665,1665,4745,420,6085,1665,4745,3700,1665,1665,420,0,1665,3330,8075,8495,14580,16245,20990,24690,26355,28020,27600
Leonardo Fioravanti,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420,420,420,420
Mateia Hiquily,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420
Matt Wilkinson,420,3700,420,1665,420,420,420,420,3700,4745,1665,0,420,4120,4540,6205,6625,7045,7465,7885,11585,16330,17155
Matthew McGillivray,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420
Michael February,1665,420,420,1665,1665,420,4745,420,420,420,1665,0,1665,2085,2505,4170,5835,6255,11000,11420,11840,12260,13085
Michael Rodrigues,4745,420,4745,1665,3700,1665,1665,1665,3700,1665,1665,0,4745,5165,9910,11575,15275,16940,18605,20270,23970,25635,25215
Michel Bourez,4745,4745,420,7800,1665,1665,1665,1665,420,4745,3700,0,4745,9490,9910,17710,19375,21040,22705,24370,24790,29535,32395
Mick Fanning,3700,7800,0,0,0,0,0,0,0,0,0,0,3700,11500,11500,11500,11500,11500,11500,11500,11500,11500,11500
Miguel Blanco,0,0,0,0,0,0,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420
Miguel Pupo,0,0,1665,420,420,420,420,4745,420,420,1665,0,0,0,1665,2085,2505,2925,3345,8090,8510,8930,10595
Mikey McDonagh,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420,420,420
Mikey Wright,3700,0,1665,6085,6085,1665,1665,1665,4745,0,0,0,3700,3700,5365,11450,17535,19200,20865,22530,27275,27275,27275
Oney Anwar,0,0,0,420,0,0,0,0,0,0,0,0,0,0,0,420,420,420,420,420,420,420,420
Owen Wright,4745,4745,420,1665,3700,1665,7800,4745,420,6085,420,0,4745,9490,9910,11575,15275,16940,24740,29485,29905,35990,35570
