name,1,2,3,4,5,6,7,8,9,10,11,beforeGold Coast,beforeBells Beach,beforeBali Pro,beforeMargaret River,beforeRio Pro,beforeJ-Bay Open,beforeTahiti,beforeSurf Ranch Pro,beforeFrance,beforePeniche Pro,beforePipe Masters,endOfSeason
Adrian Buchan,1330,1330,4745,265,265,4745,1330,4745,4745,1330,1330,0,1330,2660,7405,7670,7935,12680,14010,18755,23500,24830,25630
Adriano de Souza,265,265,265,265,1330,1330,4745,265,265,265,265,0,265,530,795,1060,2390,3720,8465,8730,8995,9260,8995
Alex Ribeiro,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,265,265,265,265,265,265,265
Barron Mamiya,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,1330,1330,1330,1330
Beyrick De Vries,0,0,0,0,0,265,0,0,0,0,0,0,0,0,0,0,0,265,265,265,265,265,265
Billy Kemper,0,0,0,0,0,0,0,0,0,0,1330,0,0,0,0,0,0,0,0,0,0,0,1330
Caio Ibelli,265,1330,1330,6085,1330,1330,4745,1330,1330,6085,3320,0,265,1595,2925,9010,10340,11670,16415,17745,19075,25160,26885
Conner Coffin,4745,3320,3320,3320,1330,1330,1330,1330,1330,3320,1330,0,4745,8065,11385,14705,16035,17365,18695,20025,21355,24675,23345
Crosby Colapinto,0,0,0,0,0,0,0,1330,0,1330,0,0,0,0,0,0,0,0,0,1330,1330,2660,2660
Deivid Silva,1330,3320,1330,1330,3320,3320,3320,3320,265,1330,1330,0,1330,4650,5980,7310,10630,13950,17270,20590,20855,22185,21920
Ezekiel Lau,1330,1330,265,1330,1330,3320,1330,3320,3320,265,1330,0,1330,2660,2925,4255,5585,8905,10235,13555,16875,17140,17940
Filipe Toledo,3320,7800,4745,1330,10000,6085,3320,7800,1330,4745,1330,0,3320,11120,15865,17195,27195,33280,36600,44400,45730,50475,49145
Frederico Morais,0,0,0,265,6085,1330,265,0,1330,1330,265,0,0,0,0,265,6350,7680,7945,7945,9275,10605,10870
Gabriel Medina,4745,4745,1330,1330,4745,10000,7800,10000,3320,3320,7800,0,4745,9490,10820,12150,16895,26895,34695,44695,48015,51335,56475
